source_id,target_id,distance_km,travel_time_min,highways
1,2,27.56,36.2,primary;residential;tertiary;trunk
1,3,27.56,36.2,primary;residential;tertiary;trunk
1,11,20.819,22.1,residential;trunk
1,13,18.668,21.6,residential;trunk
1,19,15.177,25.0,primary;residential;tertiary;trunk;unclassified
1,24,13.95,16.7,residential;trunk
1,25,9.19,18.4,residential;unclassified
1,34,20.573,22.1,residential;trunk
1,35,23.078,28.6,residential;secondary;trunk
1,38,10.984,10.3,residential;trunk
1,39,12.583,11.7,residential;trunk
1,287,3.362,4.7,residential;trunk
1,311,2.892,5.7,residential;trunk
1,824,24.507,30.6,primary;residential;secondary;tertiary;trunk
1,953,23.105,31.9,primary;residential;tertiary;trunk
2,7,17.573,28.2,residential;tertiary;trunk;unclassified
2,19,13.937,17.5,residential;secondary;tertiary;trunk;unclassified
2,27,27.105,44.0,living_street;residential;tertiary;trunk;unclassified
2,30,12.594,16.0,primary;residential;tertiary;trunk;unclassified
2,32,21.531,25.6,primary;residential;tertiary;trunk;unclassified
2,35,17.114,23.3,residential;tertiary;trunk;unclassified
2,40,9.536,10.5,residential;tertiary;trunk
2,824,20.969,27.4,residential;secondary;tertiary;trunk;unclassified
2,953,12.593,15.0,residential;tertiary;trunk
3,7,17.573,28.2,residential;tertiary;trunk;unclassified
3,19,13.937,17.5,residential;secondary;tertiary;trunk;unclassified
3,27,27.105,44.0,living_street;residential;tertiary;trunk;unclassified
3,30,12.594,16.0,primary;residential;tertiary;trunk;unclassified
3,32,21.531,25.6,primary;residential;tertiary;trunk;unclassified
3,35,17.114,23.3,residential;tertiary;trunk;unclassified
3,40,9.536,10.5,residential;tertiary;trunk
3,824,20.969,27.4,residential;secondary;tertiary;trunk;unclassified
3,953,12.593,15.0,residential;tertiary;trunk
4,10,13.072,27.5,residential;unclassified
4,17,49.774,63.3,primary;residential;tertiary;trunk;unclassified
4,18,22.836,38.5,residential;trunk;unclassified
4,27,37.531,64.9,living_street;residential;secondary;tertiary;trunk;unclassified
4,33,36.238,49.3,primary;residential;tertiary;trunk;unclassified
4,38,39.659,58.6,living_street;primary;residential;tertiary;trunk;unclassified
4,39,38.702,57.4,primary;residential;tertiary;trunk;unclassified
4,41,32.342,46.7,residential;tertiary;trunk;unclassified
4,824,22.034,35.9,residential;secondary;tertiary;unclassified
4,953,26.604,40.3,residential;secondary;tertiary;trunk;unclassified
4,1437,28.352,49.7,residential;tertiary;trunk;unclassified
4,1441,31.974,46.6,residential;trunk;unclassified
4,1450,17.889,30.6,residential;tertiary;trunk;unclassified
4,1459,30.781,55.8,residential;tertiary;trunk;unclassified
4,1478,25.989,41.5,residential;trunk;unclassified
5,7,17.573,28.2,residential;tertiary;trunk;unclassified
5,19,13.937,17.5,residential;secondary;tertiary;trunk;unclassified
5,27,27.105,44.0,living_street;residential;tertiary;trunk;unclassified
5,30,12.594,16.0,primary;residential;tertiary;trunk;unclassified
5,32,21.531,25.6,primary;residential;tertiary;trunk;unclassified
5,35,17.114,23.3,residential;tertiary;trunk;unclassified
5,40,9.536,10.5,residential;tertiary;trunk
5,824,20.969,27.4,residential;secondary;tertiary;trunk;unclassified
5,953,12.593,15.0,residential;tertiary;trunk
6,7,17.573,28.2,residential;tertiary;trunk;unclassified
6,19,13.937,17.5,residential;secondary;tertiary;trunk;unclassified
6,27,27.105,44.0,living_street;residential;tertiary;trunk;unclassified
6,30,12.594,16.0,primary;residential;tertiary;trunk;unclassified
6,32,21.531,25.6,primary;residential;tertiary;trunk;unclassified
6,35,17.114,23.3,residential;tertiary;trunk;unclassified
6,40,9.536,10.5,residential;tertiary;trunk
6,824,20.969,27.4,residential;secondary;tertiary;trunk;unclassified
6,953,12.593,15.0,residential;tertiary;trunk
7,21,17.573,28.2,residential;tertiary;trunk;unclassified
7,23,13.084,25.7,residential;tertiary;unclassified
7,29,17.573,28.2,residential;tertiary;trunk;unclassified
7,31,20.211,33.2,residential;secondary;tertiary;trunk;unclassified
7,35,15.844,28.6,residential;tertiary;trunk;unclassified
7,40,10.675,18.4,residential;tertiary;unclassified
7,42,17.573,28.2,residential;tertiary;trunk;unclassified
7,307,17.315,32.5,residential;secondary;tertiary;unclassified
7,321,30.398,54.7,residential;secondary;tertiary;unclassified
7,328,21.363,38.0,residential;secondary;tertiary;unclassified
7,1831,21.128,34.1,residential;secondary;tertiary;trunk;unclassified
8,14,29.145,35.0,tertiary;trunk;unclassified
8,16,11.155,20.5,residential;tertiary;unclassified
8,20,34.064,39.9,tertiary;trunk;unclassified
8,26,14.063,20.6,residential;tertiary;unclassified
8,36,21.403,27.2,tertiary;trunk;unclassified
8,174,33.581,56.2,residential;tertiary;trunk;unclassified
8,194,30.127,36.8,tertiary;trunk;unclassified
8,203,14.843,24.3,tertiary;unclassified
8,227,34.493,60.2,residential;tertiary;trunk;unclassified
8,283,23.337,29.2,tertiary;trunk;unclassified
8,286,35.446,54.0,residential;tertiary;trunk;unclassified
8,1440,36.434,53.3,primary;residential;tertiary;trunk;unclassified
8,1468,46.366,60.3,tertiary;trunk;unclassified
8,1469,46.913,61.0,primary;residential;secondary;tertiary;trunk;unclassified
8,1473,35.008,47.6,primary;secondary;tertiary;trunk;unclassified
9,21,26.362,28.9,residential;tertiary;trunk
9,22,36.381,53.0,residential;secondary;tertiary;unclassified
9,29,26.362,28.9,residential;tertiary;trunk
9,30,30.556,42.0,residential;tertiary;unclassified
9,40,16.826,18.4,tertiary;trunk
9,42,26.362,28.9,residential;tertiary;trunk
9,316,56.872,58.4,tertiary;trunk
